game_lineups_id,game_id,type,number,player_id,player_name,team_captain,sub_position
5dadf1a55b6e04a10bc3c14e3e8bdeff,4095165,starting_lineup,13,145466,Tim Ream,1,Centre-Back
085b4ce375cf2a8452b8f5688854a261,4095169,starting_lineup,13,145466,Tim Ream,1,Centre-Back
9a2af5ce99efefe14d13591af670c7a6,4095171,substitutes,26,578539,Chris Richards,0,Centre-Back
b8793a11ed0163ea754b02d434339e9e,4095177,substitutes,26,578539,Chris Richards,0,Centre-Back
e9087c77973bc5201abdfb115afbb476,4095179,starting_lineup,13,145466,Tim Ream,1,Centre-Back
f31522897b01daedd465f7f1ebfb245c,4095188,starting_lineup,13,145466,Tim Ream,1,Centre-Back
c47d5bf7c609151a005b0fb8c46e55d9,4095191,substitutes,26,578539,Chris Richards,0,Centre-Back
912cc5d70f3232f724606b61cdee1b6b,4095969,substitutes,45,355369,Jordan,0,Centre-Forward
cee188f7bd12f3158a316cb74a45ca84,4095973,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
57bf9a528889441c25520e3bff5cc522,4095983,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
4fd053dce11cf9a07d4db23a4a876968,4095984,substitutes,45,355369,Jordan,0,Centre-Forward
37a48c69a2841b3afef32bd9b612e361,4095989,substitutes,13,355369,Jordan,0,Centre-Forward
521fba71b5e89248b47e3ddae5f8eb60,4095990,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
607990c33b6cd9b76823cf51ffba887c,4095999,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
91ab65a6a5a68a24aefbdfa0fd4d8e2c,4096002,starting_lineup,13,355369,Jordan,0,Centre-Forward
079a974fcd37f62fba0f42f31c384890,4096004,substitutes,7,504215,Giovanni Reyna,0,Attacking Midfield
e29214ae1931f655578a43a06c72bce0,4096005,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
912dbc54e5c4d843919ceddb608ad7a9,4096008,starting_lineup,13,355369,Jordan,0,Centre-Forward
58f7532a88c4e4061efbeaa5602d483c,4096017,substitutes,7,504215,Giovanni Reyna,0,Attacking Midfield
5ee0a7ca8dbfb77db005683627a78997,4096017,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
aca583df12b5ceb20a86d0083243b1be,4096018,starting_lineup,13,355369,Jordan,0,Centre-Forward
8d878d406af141dacbb6e230a12439df,4096022,substitutes,7,504215,Giovanni Reyna,0,Right Winger
8d717b1017e72d89d2ee1112bb2d7466,4096025,substitutes,22,49723,Timothy Chandler,0,Right-Back
