game_event_id,date,game_id,minute,type,player_id,description,player_in_id
4631835fc0426466a5d2f987f9ddab48,2021-05-01,3532043,23,Goals,504215,", Right-footed shot, 3. Tournament Goal",0
f53bf82d8fda771264961fdaced71723,2021-05-01,3532043,46,Substitutions,504215,Not Available,187492
5c743a8dbb0830af52c0a5b880d761eb,2021-03-21,3537810,83,Substitutions,315779,Not Available,225083
f7d618e02fc90a1981e49c30b13faae9,2021-04-27,3552987,14,Goals,315779,", Right-footed shot, 2. Tournament Goal",0
a1c60322adf3ae7f15765702946579fe,2021-04-27,3552987,66,Substitutions,315779,Not Available,217111
096bc5898dc26249be7f756bdc2cfb29,2021-05-08,3557675,60,Substitutions,482493,Not Available,62170
bbfacfd524f24b7a917284b7cb5f820d,2021-08-17,3575344,78,Substitutions,504215,Not Available,395928
58b514bd07f2a6ddfc68377f26dd5478,2021-07-16,3580162,73,Substitutions,381187,Not Available,103434
33c0af7d911f543bcc00f19082465338,2021-08-01,3580182,81,Substitutions,381187,Not Available,369678
800a843aa5eebe0d5c381d18753043a0,2021-08-01,3580183,81,Goals,544931,", Right-footed shot, 1. Goal of the Season",0
08177229db4e02fa1edf33aa1ba569c4,2021-08-08,3580188,63,Substitutions,544931,Not Available,546712
7b2581363386f01f282b09bbc7e36151,2021-08-15,3580195,76,Substitutions,381187,Not Available,369678
ba6de8f10e1f145393b29acb5809aaf3,2021-08-21,3580201,55,Goals,381187,", Right-footed shot, 1. Goal of the Season",0
6c19fb7470117ea02c9d73f70f8f8603,2021-08-21,3580201,90,Substitutions,381187,Not Available,369678
57377b8f31f84615adf069e9feceba5c,2021-08-29,3580206,78,Substitutions,381187,Not Available,369678
1173c8a234ad4004b87f3c13663a8b21,2021-09-10,3580211,73,Substitutions,544931,Not Available,594556
c8df0779d16d1f87d62df5cc6fab357a,2021-09-17,3580218,86,Substitutions,381187,Not Available,63459
856b97c8d01884c87611a2c78516bca9,2021-09-26,3580228,62,Goals,381187,", Left-footed shot, 2. Goal of the Season",0
f2e2749b6c644940e155a21ee846839b,2021-10-01,3580232,72,Substitutions,381187,Not Available,514892
a58944cb981781ddae7946b48d0cf6c0,2021-10-17,3580235,86,Goals,544931,", Long distance kick, 2. Goal of the Season",0
5ee7ad9e2ec4bbbfd4c41a77558e5e92,2021-10-31,3580266,86,Goals,544931,", Right-footed shot, 3. Goal of the Season",0
c48266a72363098a081a9e59a2c9cdca,2021-11-19,3580277,72,Substitutions,381187,Not Available,369678
4126bc1f716654df041ab0f8b631e57b,2021-11-28,3580284,70,Substitutions,381187,Not Available,103434
9a6daea2f12558e4e7b30f362d25c97d,2022-02-27,3580315,66,Substitutions,381187,Not Available,657957
e1ce988df0c3f038cca8bea3ba04814f,2022-03-06,3580323,78,Substitutions,381187,Not Available,178926
1853d0b252fb5049410949b790f29c48,2022-03-20,3580338,70,Substitutions,381187,Not Available,91851
dd96c4cae86676c56bc8389d2b170273,2021-08-14,3580958,57,Substitutions,315762,Not Available,391555
8dec92f784b08a61360a853025c494f1,2021-08-14,3583478,40,Goals,315779,", Tap-in, 1. Goal of the Season",0
5dd935bea2e1051b24ee4ebfcda53dda,2021-08-14,3583478,82,Substitutions,315779,Not Available,309400
5305bd74d260a52a27292aa09b63e94c,2021-08-14,3588140,58,Goals,504215,", Right-footed shot, 1. Goal of the Season",0
5114526e6e653e6c4f3a8f3d71fe09dd,2021-08-14,3588140,87,Substitutions,504215,Not Available,467720
536bec84589998df631f516263b7c958,2021-08-14,3588143,70,Substitutions,161204,Not Available,379979
0df6f202ae092fea10075f2801e54119,2021-08-15,3588144,64,Substitutions,332705,Not Available,106987
9c8c9a4baab7340d713b650e808efc57,2021-08-21,3588152,70,Substitutions,504215,Not Available,187492
84499be86e7ffcc6cbad0864d93c97df,2021-08-27,3588167,49,Goals,504215,", Right-footed shot, 2. Goal of the Season",0
86fa80f66c8f9da794f84cec3659cd6f,2021-08-27,3588167,64,Substitutions,504215,Not Available,187492
47f449721dab72922ac907f04e2c8597,2021-08-29,3588168,86,Substitutions,332705,Not Available,53418
db852b17d93ad78c898249704377e379,2021-08-28,3588171,60,Substitutions,161204,Not Available,518505
47aa64114e15da5ee2e156436853e788,2021-09-11,3588183,60,Substitutions,161204,Not Available,192300
f5633c10b826f56029d18e8f8a8dfcc3,2021-09-24,3588219,86,Substitutions,161204,Not Available,518505
47ad3d74ad154c56bea6a179dd1bd0cc,2021-10-16,3588239,46,Substitutions,49723,Not Available,216181
480ea8056c81444508dab22b29ecb196,2021-10-23,3588258,88,Substitutions,124732,Not Available,338629
1d24720f3b6361144e698f40baf6db36,2021-10-30,3588279,76,Substitutions,161204,Not Available,310662
7011883a5c7d6e024f7f2dcc02681694,2021-11-07,3588291,73,Substitutions,161204,Not Available,310662
31f4fe14f09a5789031ae87438c1c056,2021-11-20,3588304,46,Substitutions,161204,Not Available,388363
55c542b3a6df955ec68e31e55c82bfba,2021-11-21,3588305,65,Substitutions,49723,Not Available,216181
9083eacbdfd0a58b384246a70cb047f9,2021-12-04,3588342,83,Substitutions,49723,Not Available,416380
29b3cf3238d2ad9dcbede0f4621f89d2,2021-12-04,3588343,46,Substitutions,124732,Not Available,338629
9dd81bc8e90ee57979d64c47784cbbf3,2021-12-11,3588350,90,Goals,578539,", Header, 1. Goal of the Season",0
b091091f745ff8f71ad92ec0465948e0,2022-01-16,3588424,81,Substitutions,49723,Not Available,85789
f469d2c81f8607a6006b3d2e29400df3,2022-01-21,3588437,74,Substitutions,49723,Not Available,416380
6ec21a8f8397e066f8606ec25af4b3ca,2022-02-06,3588456,85,Substitutions,124732,Not Available,557459
21cfb916a668f989b8e76e009fc9d8e5,2022-02-20,3588482,30,Substitutions,504215,Not Available,187492
f138bc3f4795773ba8a2adea1b3f09b5,2022-02-19,3588489,82,Substitutions,49723,Not Available,85906
868b541a5d1408d9cb3f2f79c31b9911,2022-02-27,3588497,58,Substitutions,332705,Not Available,293385
38f9518d60cd7abf3628da6801fe711b,2022-03-13,3588534,46,Substitutions,161204,Not Available,310662
6cf1d74eb85767bfda74ccff4262334d,2022-03-20,3588546,88,Substitutions,124732,Not Available,535551
15503dd8c1969de564045301668eed1c,2022-04-08,3588584,6,Substitutions,504215,Not Available,187492
581e52f19c6ead55b369e0e9d0682fb5,2022-04-09,3588588,78,Substitutions,161204,Not Available,136181
572df32a44a8c5ce18242c58ee9ae99f,2022-04-17,3588590,83,Substitutions,332705,Not Available,202591
60d4c4a2fe035362efdfb99568768c93,2022-04-17,3588591,59,Substitutions,49723,Not Available,429874
5c21f52b10bccb97a17a2fe6abcbcee0,2022-04-17,3588594,90,Substitutions,161204,Not Available,247661
f273cde6439f7700cccc6338b102130c,2022-04-17,3588594,46,Substitutions,578539,Not Available,160241
65b3e01afe53417c3ff49760ed2e0186,2022-04-30,3588629,13,Goals,124732,", Header, 1. Goal of the Season",0
d782ed1933da10738e6880bf634381e8,2022-05-14,3588668,90,Substitutions,124732,Not Available,338629
823d364063790e58e7534dc57d396061,2021-08-14,3588785,64,Substitutions,370846,Not Available,557610
32fb0551d4b8ce86f5be8b4b0edefbc0,2021-08-21,3588822,81,Substitutions,370846,Not Available,386726
883567915e1d76ef00ac346a334cd13d,2021-09-22,3588930,60,Substitutions,370846,Not Available,392770
90577cf25cabb3d1cee92ca337b3e465,2021-10-03,3589113,76,Substitutions,282199,Not Available,804708
02e02905a118ee2c09a5164069608b3f,2021-10-16,3589119,71,Substitutions,370846,Not Available,533738
9507c27484216775376a374019602d5c,2021-12-01,3589263,80,Substitutions,370846,Not Available,34987
0a3bee54a2ee8f62cf534297f4a123cd,2022-01-19,3589329,86,Substitutions,282199,Not Available,554251
81f02ad7dea0ce84012a9f9eb1fa5cec,2022-01-22,3589352,67,Substitutions,370846,Not Available,485706
69ea12395d068df3e9c42fe2b60b31cb,2022-02-06,3589360,70,Substitutions,370846,Not Available,357796
8a93997b244e26c2856517024c206b34,2022-02-20,3589406,82,Substitutions,282199,Not Available,536507
4f03cc2b6bd8916f9476e5b451e4c328,2022-02-27,3589427,77,Substitutions,282199,Not Available,536507
cd2ad25e1632f05d8ee102dd7459e1ae,2022-04-03,3589480,83,Substitutions,282199,Not Available,234802
d9b53f21db4a980c6b72af136a0fa6d9,2022-05-14,3589586,90,Goals,370846,", Right-footed shot, 1. Goal of the Season",0
a61f91c3c08cf54c683ee0de4f1a0254,2022-05-21,3589602,11,Goals,370846,", Header, 2. Goal of the Season",0
c85f4599801c38238f93dec42add493c,2022-05-21,3589602,88,Goals,370846,", Header, 3. Goal of the Season",0
a0e3015b6e449d65dc287c89ef7c725d,2021-09-18,3591967,70,Substitutions,393325,Not Available,451677
51a822c85508a79221645eaf153e0760,2021-10-31,3591977,77,Substitutions,393325,Not Available,434223
c345d770c415d4a34853bd98c42f5fb4,2021-10-02,3592002,90,Substitutions,393325,Not Available,434223
ddd34815ed1cf553bc2590d8aae8ef9f,2021-10-16,3592018,76,Substitutions,393325,Not Available,291739
2961012d450d22eb1aef8351728c5062,2021-11-20,3592033,71,Goals,315779,", Right-footed shot, 2. Goal of the Season",0
