appearance_id,game_id,player_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2231506_31041,2231506,31041,2012-10-19,Fabian Johnson,L1,0,0,0,0,90
2224589_161244,2224589,161244,2012-10-20,Conor O'Brien,DK1,0,0,0,1,90
2225506_27577,2225506,27577,2012-10-20,Clint Dempsey,GB1,0,0,0,0,74
2225506_3476,2225506,3476,2012-10-20,Brad Friedel,GB1,0,0,0,0,90
2225509_31642,2225509,31642,2012-10-20,Geoff Cameron,GB1,0,0,0,0,90
2225510_39471,2225510,39471,2012-10-20,Brad Guzan,GB1,0,0,0,0,90
2225510_61575,2225510,61575,2012-10-20,Eric Lichaj,GB1,1,0,0,0,28
2231501_1335,2231501,1335,2012-10-20,Steven Cherundolo,L1,0,0,0,0,90
2231504_1321,2231504,1321,2012-10-20,Jermaine Jones,L1,0,0,0,0,11
2225504_4267,2225504,4267,2012-10-21,Tim Howard,GB1,0,0,0,0,90
2231512_49723,2231512,49723,2012-10-21,Timothy Chandler,L1,0,0,0,0,90
2251336_30593,2251336,30593,2012-10-21,Michael Bradley,IT1,0,0,0,0,2
2224587_119169,2224587,119169,2012-10-22,Aron Johannsson,DK1,0,0,0,0,63
2224587_46472,2224587,46472,2012-10-22,Charlie Davies,DK1,0,0,0,0,6
2262180_39897,2262180,39897,2012-10-23,Michael Parkhurst,CL,0,0,0,0,90
2262189_1321,2262189,1321,2012-10-24,Jermaine Jones,CL,0,0,0,0,45
2262191_12517,2262191,12517,2012-10-24,Oguchi Onyewu,CL,0,0,0,0,1
2265181_161244,2265181,161244,2012-10-24,Conor O'Brien,DKP,0,0,0,0,90
2262434_27577,2262434,27577,2012-10-25,Clint Dempsey,EL,0,0,0,0,15
2262439_1335,2262439,1335,2012-10-25,Steven Cherundolo,EL,0,0,0,0,90
2225512_31642,2225512,31642,2012-10-27,Geoff Cameron,GB1,0,0,0,0,90
2225519_39471,2225519,39471,2012-10-27,Brad Guzan,GB1,0,0,0,0,90
2225519_61575,2225519,61575,2012-10-27,Eric Lichaj,GB1,0,0,0,0,36
2231491_1321,2231491,1321,2012-10-27,Jermaine Jones,L1,0,0,0,0,90
2231491_49723,2231491,49723,2012-10-27,Timothy Chandler,L1,0,0,0,0,90
2231492_31041,2231492,31041,2012-10-27,Fabian Johnson,L1,0,0,0,0,90
2231492_38383,2231492,38383,2012-10-27,Danny Williams,L1,1,0,0,0,90
